NCO_Code,Occupation_title
3796,Automation Specialist I
3906,Chemical Engineer
2474,Nurse
6545,Biostatistician III
2358,Programmer II
9606,Director of Sales
9755,Sales Representative
6719,Human Resources Assistant I
5866,Director of Sales
2505,Help Desk Operator
3721,Community Outreach Specialist
1745,Assistant Media Planner
9036,Sales Representative
6109,Structural Engineer
2979,Environmental Specialist
7539,Civil Engineer
5055,Operator
9064,Desktop Support Technician
1266,Cost Accountant
8255,Graphic Designer
1260,Nurse Practicioner
7985,Recruiter
9286,Senior Financial Analyst
8020,Account Representative II
7080,Community Outreach Specialist
2599,Quality Control Specialist
2546,Sales Representative
8675,Paralegal
6133,General Manager
3984,Research Assistant I
5390,Project Manager
8480,Nurse Practicioner
3198,Professor
1726,Biostatistician II
2634,Human Resources Manager
7678,Tax Accountant
4446,Software Engineer I
1994,Marketing Manager
6288,Systems Administrator III
5241,Developer II
2302,Staff Scientist
7471,Physical Therapy Assistant
6043,Budget/Accounting Analyst IV
8219,Registered Nurse
4505,Nurse Practicioner
7969,Nuclear Power Engineer
6055,VP Sales
4850,Structural Analysis Engineer
3637,Software Consultant
6280,Registered Nurse
2453,Actuary
4498,Environmental Specialist
7588,Professor
4362,Senior Quality Engineer
5751,Sales Associate
8151,Structural Engineer
1181,VP Sales
5121,Financial Advisor
4742,Media Manager IV
7907,Speech Pathologist
2224,Community Outreach Specialist
2938,Teacher
4269,Payment Adjustment Coordinator
6576,Speech Pathologist
6385,Senior Editor
2908,Software Consultant
2977,Senior Quality Engineer
6109,Chief Design Engineer
1693,Cost Accountant
5899,Senior Sales Associate
3355,Analyst Programmer
7594,Senior Editor
6987,Programmer Analyst II
8716,Business Systems Development Analyst
9022,Social Worker
2757,Occupational Therapist
9889,Software Engineer I
6623,Financial Analyst
2078,Tax Accountant
5930,Dental Hygienist
4721,VP Marketing
5696,Desktop Support Technician
3276,Nurse Practicioner
5250,Developer IV
7006,Systems Administrator IV
1493,Executive Secretary
8576,Editor
3425,Account Executive
5919,Senior Quality Engineer
5143,Analog Circuit Design manager
4710,Geological Engineer
3848,Senior Cost Accountant
4354,Analog Circuit Design manager
4904,Paralegal
3176,Registered Nurse
3619,Account Executive
8991,Research Assistant III
9918,Structural Analysis Engineer
8280,Financial Analyst
8192,Office Assistant II
8327,Help Desk Technician
7875,Social Worker
3858,Media Manager I
8211,Clinical Specialist
3493,Nurse Practicioner
2249,Senior Sales Associate
4261,Executive Secretary
9490,Tax Accountant
4195,Registered Nurse
3161,Clinical Specialist
2987,Marketing Assistant
2683,Nurse Practicioner
3947,Systems Administrator I
6790,Sales Associate
5423,Senior Cost Accountant
8167,Assistant Media Planner
7470,Computer Systems Analyst II
2254,Tax Accountant
4433,Account Coordinator
6255,Help Desk Technician
8892,Marketing Assistant
9327,Director of Sales
8033,Biostatistician IV
5276,Dental Hygienist
1178,Nurse Practicioner
7478,Marketing Manager
6716,Accountant I
9349,Senior Editor
6570,Research Assistant I
1462,General Manager
7454,VP Product Management
4220,Financial Analyst
8242,Geological Engineer
8917,Software Test Engineer III
6957,VP Sales
7800,Marketing Assistant
9766,Physical Therapy Assistant
5714,Payment Adjustment Coordinator
5617,Engineer III
8791,Administrative Officer
3722,Community Outreach Specialist
6146,Administrative Assistant III
5675,Help Desk Operator
2103,Director of Sales
3606,Community Outreach Specialist
3440,Technical Writer
9513,Nuclear Power Engineer
4322,Community Outreach Specialist
5610,Teacher
5005,Analyst Programmer
3668,Senior Cost Accountant
1646,Mechanical Systems Engineer
5399,Geological Engineer
2740,Occupational Therapist
2439,Account Executive
1762,Geological Engineer
1901,Structural Engineer
9208,Assistant Professor
8654,Software Test Engineer IV
6739,Geologist I
6451,Electrical Engineer
1868,Graphic Designer
3830,Nuclear Power Engineer
6318,Financial Advisor
6800,Librarian
4664,Business Systems Development Analyst
9377,Nurse Practicioner
9786,Statistician IV
8612,Product Engineer
2134,Structural Engineer
7556,Clinical Specialist
6757,Desktop Support Technician
7178,Librarian
6940,VP Marketing
9925,Statistician IV
3812,Quality Engineer
4923,Office Assistant IV
9358,Staff Scientist
9728,Librarian
5330,VP Product Management
3622,Pharmacist
4597,Accountant II
1513,Product Engineer
8257,Desktop Support Technician
6843,Recruiter
4077,Civil Engineer
8553,Cost Accountant
1997,Compensation Analyst
2175,Office Assistant I
6453,Technical Writer
6122,Sales Representative
4920,Business Systems Development Analyst
3971,Account Representative IV
7736,VP Sales
5486,Assistant Professor
9039,Senior Sales Associate
4397,Actuary
6361,Actuary
2666,VP Accounting
4485,Senior Financial Analyst
3530,Graphic Designer
4245,Desktop Support Technician
3826,Financial Advisor
2406,Physical Therapy Assistant
2378,Accounting Assistant I
2502,Developer IV
8209,Software Test Engineer I
9983,Developer I
1254,Programmer III
3121,Geological Engineer
7035,Staff Scientist
9120,Marketing Manager
9380,Civil Engineer
5943,Structural Engineer
3201,Product Engineer
8408,Structural Engineer
1966,Programmer Analyst I
